Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;-0,204623;0,479490;0,729813;4,591033;5087,887987;13215362149,027080;0,001351;0,040000;0,557903;0,120037;0,609776;0,932841;0,876881;0,747537;0,026122
2;0,043359;0,198430;0,339260;4,866152;5886,336387;10987725895,530212;0,003150;0,069718;1,827253;0,071225;0,268035;0,868185;0,165378;0,118884;0,024733
3;0,032151;0,206030;0,353777;4,861243;5854,541877;11161858316,535310;0,003029;0,052793;1,711882;0,075955;0,277823;0,880412;0,192463;0,124291;0,028743
4;-0,065691;0,282180;0,532335;4,810154;5604,970438;11951133474,897459;0,002317;0,040000;1,172727;0,094612;0,437723;0,911349;0,749065;0,136126;0,029412
5;-0,019404;0,243990;0,438798;4,827084;5715,771393;11699260174,987190;0,002695;0,040000;1,350865;0,085132;0,353666;0,889965;0,471385;0,122885;0,026756
6;-0,182407;0,393860;0,728723;4,705883;5308,644318;12761881493,036362;0,001810;0,040000;0,741828;0,111145;0,617577;0,928221;0,872646;0,752556;0,027425
7;-0,205535;0,482870;0,734658;4,586776;5080,044588;13235620399,652010;0,001053;0,040000;0,552868;0,119440;0,615218;0,920183;0,871155;0,790356;0,023411
8;-0,057846;0,276210;0,511801;4,813168;5619,541619;11952261563,724882;0,001982;0,040000;1,200741;0,094002;0,417799;0,899721;0,685141;0,152262;0,022029
9;-0,218199;0,522060;0,735085;4,489746;5000,000000;13440635159,698412;0,001238;0,040000;0,450872;0,132509;0,602576;0,920267;0,876320;0,785243;0,024716
10;-0,219311;0,528860;0,730773;4,467639;5000,000000;13478814955,165607;0,001682;0,040000;0,430030;0,133121;0,597653;0,931579;0,871453;0,758903;0,026756
11;-0,193701;0,436790;0,732054;4,658088;5199,584434;12986871923,918238;0,001666;0,040000;0,652658;0,115202;0,616852;0,926367;0,883993;0,758607;0,024683
12;0,030061;0,206560;0,351129;4,858856;5852,339385;11245181060,847574;0,002595;0,049577;1,659619;0,079215;0,271914;0,869640;0,196627;0,126562;0,027406
13;-0,191293;0,428590;0,738385;4,664383;5218,205444;13005706838,397032;0,001787;0,040000;0,664557;0,106442;0,631943;0,922942;0,884774;0,782752;0,028801
14;-0,200202;0,458210;0,739554;4,619753;5142,500356;13069350041,030584;0,000944;0,040000;0,596926;0,117955;0,621599;0,930986;0,888396;0,774141;0,025367
