Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;0,166340;0,208700;0,351574;5,052496;6422,718338;16105931337,958616;0,002308;0,250000;3,681888;0,090355;0,261218;0,860200;0,187626;0,150685;0,026052
2;0,219531;0,181520;0,302852;5,114326;6544,414029;14242020955,232767;0,002556;0,250000;5,178618;0,072871;0,229981;0,777473;0,135628;0,110036;0,030080
3;0,209792;0,186610;0,310642;5,106831;6521,628724;14464486014,208824;0,003153;0,250000;4,934127;0,078016;0,232627;0,781368;0,150118;0,120968;0,028724
4;0,203148;0,189470;0,317130;5,093893;6506,952558;14900113101,190216;0,002075;0,250000;4,621056;0,077836;0,239294;0,804962;0,153044;0,119211;0,025401
5;0,216090;0,181260;0,308728;5,103280;6542,578913;14597462847,843666;0,001863;0,250000;4,862821;0,070474;0,238254;0,788045;0,142761;0,117103;0,025401
6;0,185079;0,199030;0,336342;5,074767;6463,201712;15414041359,111740;0,002055;0,250000;4,193950;0,083173;0,253170;0,827148;0,184299;0,125604;0,033400
7;0,196373;0,193480;0,331473;5,079674;6489,911500;15441088476,135643;0,003371;0,250000;4,291724;0,072364;0,259109;0,818589;0,168792;0,139215;0,027388
8;0,197170;0,192730;0,326806;5,084229;6492,275348;15249233080,865170;0,002306;0,250000;4,404006;0,075994;0,250812;0,817963;0,161279;0,132341;0,024096
9;0,186594;0,197840;0,332690;5,072451;6470,677381;15612188029,903116;0,002273;0,250000;4,097162;0,082563;0,250127;0,827301;0,157133;0,152884;0,020067
10;0,157017;0,214390;0,365537;5,043220;6400,428179;16525462405,282513;0,001609;0,238359;3,390307;0,090623;0,274914;0,885517;0,199396;0,160081;0,028763
11;0,191326;0,195440;0,331609;5,076855;6479,345947;15448744595,027458;0,002549;0,250000;4,213980;0,078211;0,253398;0,832358;0,166498;0,126863;0,027388
12;0,233317;0,174060;0,290767;5,131383;6582,116504;13698127902,637486;0,003980;0,250000;5,596836;0,069322;0,221445;0,758053;0,125295;0,100242;0,024064
13;0,181758;0,202210;0,341503;5,066933;6453,169736;15804523396,225735;0,002561;0,250000;4,005319;0,080240;0,261263;0,842798;0,184388;0,136970;0,024700
14;0,203123;0,188290;0,317509;5,087947;6510,448517;15067791744,682032;0,001975;0,250000;4,509650;0,075472;0,242037;0,815898;0,144444;0,120627;0,020067
15;0,172454;0,205950;0,347490;5,056308;6433,660069;16006746086,447304;0,001972;0,250000;3,791271;0,085145;0,262345;0,856699;0,164480;0,163908;0,029412
16;0,259306;0,160110;0,272479;5,159776;6650,875126;12437843941,450396;0,002258;0,250000;6,590187;0,059507;0,212972;0,718036;0,117489;0,081961;0,024716
17;0,207181;0,186760;0,314312;5,098662;6519,171134;14744719529,662048;0,001804;0,250000;4,733622;0,077032;0,237280;0,804527;0,152474;0,107531;0,023396
18;0,207791;0,187310;0,314999;5,098236;6516,308443;14674978202,355352;0,003602;0,250000;4,794609;0,074488;0,240511;0,805765;0,134434;0,127522;0,027443
19;0,158704;0,212890;0,364235;5,047029;6406,507534;16375089633,104656;0,001770;0,240608;3,457600;0,091692;0,272543;0,870879;0,203561;0,160290;0,036716
20;0,188880;0,196310;0,338027;5,070758;6476,384407;15577234150,925127;0,002827;0,250000;4,094924;0,076276;0,261750;0,844103;0,173401;0,123238;0,031459
21;0,178262;0,202320;0,340540;5,065214;6451,450053;15817145572,015694;0,002750;0,250000;3,915682;0,085769;0,254771;0,849174;0,175680;0,134545;0,022059
22;0,192002;0,194890;0,330190;5,080118;6484,307768;15425666718,212114;0,002600;0,250000;4,234803;0,080519;0,249670;0,816270;0,170077;0,138654;0,024700
23;0,197566;0,191700;0,326642;5,083111;6494,527433;15251579135,517437;0,001809;0,250000;4,378561;0,075730;0,250912;0,819559;0,157258;0,134700;0,026052
24;0,188760;0,197650;0,335057;5,079546;6473,146143;15410017297,947218;0,001754;0,250000;4,243998;0,081533;0,253524;0,825326;0,173562;0,137152;0,028763
25;0,208555;0,185050;0,316168;5,097377;6527,231485;14756158974,533167;0,001786;0,250000;4,701317;0,075071;0,241097;0,798841;0,153950;0,115679;0,024749
26;0,188392;0,196310;0,331067;5,073992;6475,271271;15563359228,637583;0,002264;0,250000;4,126401;0,081372;0,249696;0,834423;0,157364;0,136290;0,022044
27;0,203584;0,189870;0,320661;5,095569;6507,204797;14822769225,666271;0,002670;0,250000;4,657964;0,076440;0,244221;0,806662;0,159610;0,118453;0,030120
28;0,174618;0,202490;0,341278;5,060119;6447,678113;15865360279,451073;0,002356;0,250000;3,814556;0,089351;0,251927;0,845995;0,171265;0,140040;0,031459
29;0,199597;0,190430;0,323025;5,086033;6501,925246;15160496925,019672;0,002301;0,250000;4,423100;0,076650;0,246375;0,814802;0,155705;0,126914;0,026738
30;0,198024;0,191460;0,323195;5,088647;6496,930959;15109522309,563840;0,002698;0,250000;4,454304;0,079380;0,243816;0,800757;0,157647;0,144006;0,022712
31;0,206668;0,187490;0,312614;5,096508;6517,997657;14835605901,503635;0,002964;0,250000;4,678940;0,077290;0,235324;0,794138;0,144156;0,125454;0,024032
32;0,188244;0,196820;0,332589;5,071896;6473,889047;15562909978,888395;0,002130;0,250000;4,118115;0,079695;0,252893;0,832066;0,166611;0,138542;0,018717
33;0,184352;0,199680;0,336450;5,070862;6461,354692;15652197486,679502;0,001961;0,250000;4,087521;0,081801;0,254649;0,825622;0,179004;0,142050;0,024080
34;0,167771;0,208200;0,349055;5,052226;6425,615356;16138886496,122818;0,002452;0,250000;3,681552;0,088636;0,260419;0,853490;0,180074;0,158596;0,024080
35;0,219683;0,180890;0,304370;5,115258;6547,486274;14283517915,405378;0,002201;0,250000;5,149971;0,073101;0,231268;0,771084;0,145064;0,117907;0,024749
36;0,193489;0,195640;0,328522;5,080931;6479,928586;15337225130,676615;0,002508;0,250000;4,350941;0,077658;0,250864;0,828729;0,158249;0,129734;0,026846
37;0,186130;0,197320;0,333908;5,075114;6471,498877;15448837925,596529;0,002118;0,250000;4,137810;0,084617;0,249291;0,833448;0,160577;0,140562;0,032776
38;0,203892;0,188970;0,320535;5,094755;6509,127090;14839916075,821844;0,001994;0,250000;4,650473;0,076081;0,244453;0,813315;0,147503;0,126010;0,028037
39;0,191588;0,194590;0,325487;5,078541;6483,912327;15328237292,450850;0,002026;0,250000;4,260540;0,082386;0,243101;0,830812;0,145069;0,128577;0,028075
40;0,243825;0,168740;0,286278;5,141167;6606,003247;13255342207,671500;0,002669;0,250000;5,972941;0,062582;0,223696;0,738030;0,118616;0,110169;0,028724
41;0,183886;0,198140;0,332454;5,070645;6467,673908;15585107092,017664;0,001965;0,250000;4,059307;0,085801;0,246653;0,831267;0,163649;0,133522;0,030100
42;0,191015;0,195420;0,332084;5,079241;6479,864910;15350718613,392750;0,002460;0,250000;4,259158;0,079753;0,252331;0,829218;0,169406;0,131961;0,018084
43;0,216057;0,182320;0,302913;5,107114;6539,671169;14429435033,575216;0,003365;0,250000;4,998297;0,074307;0,228606;0,784435;0,135081;0,107431;0,025418
44;0,205009;0,189280;0,320642;5,092828;6508,459003;14963239123,681656;0,002672;0,250000;4,634437;0,072190;0,248452;0,801519;0,157629;0,134646;0,022074
45;0,210333;0,186640;0,314294;5,100710;6520,681409;14651721783,243446;0,002850;0,250000;4,856231;0,072131;0,242163;0,806186;0,144205;0,117197;0,022059
46;0,194910;0,193260;0,326531;5,077994;6489,774352;15481866905,592512;0,001890;0,250000;4,243233;0,076556;0,249975;0,825189;0,149596;0,138126;0,021348
47;0,242360;0,170010;0,284062;5,140294;6601,094328;13356756098,125538;0,003244;0,250000;5,945980;0,064421;0,219641;0,734890;0,112681;0,117386;0,022773
48;0,153052;0,217160;0,364255;5,045995;6389,120137;16475646287,207664;0,002095;0,232470;3,393737;0,097440;0,266816;0,880993;0,189226;0,168145;0,034829
49;0,175372;0,203420;0,347998;5,059950;6445,922009;15945009649,495766;0,001452;0,250000;3,820018;0,084440;0,263558;0,838710;0,190380;0,157195;0,022044
50;0,183460;0,199140;0,336648;5,069769;6463,570216;15619737395,612568;0,002650;0,250000;4,053246;0,083300;0,253348;0,830928;0,175976;0,138015;0,023396
51;0,211792;0,184250;0,308941;5,102085;6531,810642;14668296016,816824;0,003151;0,250000;4,808996;0,075409;0,233533;0,777663;0,154157;0,118357;0,024048
52;0,159793;0,211890;0,356983;5,046876;6410,447227;16356752538,794080;0,002104;0,242443;3,475811;0,093585;0,263398;0,871123;0,183591;0,165862;0,020777
53;0,205215;0,188340;0,320069;5,098223;6513,445118;14780248885,539282;0,001886;0,250000;4,696291;0,076448;0,243621;0,801712;0,159396;0,124849;0,023443
54;0,187927;0,197220;0,332454;5,076513;6473,961306;15507818305,747055;0,002428;0,250000;4,159737;0,083113;0,249340;0,827207;0,166779;0,136052;0,023458
55;0,167656;0,207780;0,348894;5,055153;6427,571153;15995768253,995253;0,003122;0,250000;3,716639;0,091435;0,257459;0,867698;0,170370;0,149254;0,024749
56;0,244001;0,169330;0,284976;5,146195;6606,286160;13076287184,221352;0,003362;0,250000;6,109963;0,065748;0,219228;0,732762;0,131765;0,103781;0,018060
57;0,200396;0,190710;0,318034;5,090181;6501,623865;15007002809,997791;0,002235;0,250000;4,539405;0,079407;0,238627;0,809047;0,150151;0,122581;0,025418
58;0,189854;0,196730;0,331777;5,080508;6474,249905;15359895442,078175;0,003396;0,250000;4,277097;0,081523;0,250254;0,813187;0,170148;0,143146;0,027388
