Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95
1;0,014396;0,000025;0,014350;0,014436;0,024110;0,000000;0,024110;0,024110;0,000427;0,000199;0,000100;0,000800;4,499441;0,000075;4,499332;4,499592;5850,464002;0,000000;5850,464002;5850,464002;-22514809,384023;686,039516;-22516099,950059;-22513699,950059;0,038141;0,110948;0,000000;0,402865;0,050500;0,000000;0,050500;0,050500;1,000110;0,000007;1,000097;1,000121;0,000124;0,000109;0,000000;0,000400;0,000303;0,000184;0,000100;0,000600;0,000843;0,000477;0,000333;0,001667;0,000237;0,000251;0,000000;0,000667;0,000404;0,000382;0,000000;0,001200;0,000013;0,000093;0,000000;0,000000
2;0,010686;0,000059;0,010583;0,010787;0,023335;0,000005;0,023330;0,023340;0,000899;0,000341;0,000300;0,001400;4,499066;0,000117;4,498883;4,499277;5867,204941;0,084365;5867,067619;5867,355462;-45224511,958921;7360,849276;-45237852,970365;-45213516,153838;0,042205;0,104369;0,000000;0,382721;0,047350;0,000000;0,047350;0,047350;1,000279;0,000018;1,000248;1,000310;0,000251;0,000161;0,000000;0,000500;0,000648;0,000292;0,000200;0,001200;0,001757;0,000779;0,000667;0,003001;0,000550;0,000409;0,000000;0,001333;0,000820;0,000555;0,000000;0,002000;0,000013;0,000093;0,000000;0,000000
3;0,008291;0,000109;0,008095;0,008494;0,022615;0,000008;0,022600;0,022630;0,001382;0,000525;0,000400;0,002300;4,498830;0,000162;4,498526;4,499165;5883,252897;0,170898;5882,993187;5883,549374;-68121411,840829;17759,400955;-68147936,846164;-68089601,437694;0,039226;0,082273;0,000000;0,363585;0,045145;0,000000;0,045145;0,045145;1,000504;0,000036;1,000441;1,000570;0,000348;0,000195;0,000000;0,000800;0,001034;0,000429;0,000300;0,001700;0,002677;0,001103;0,001000;0,004667;0,000847;0,000563;0,000000;0,001667;0,001292;0,000871;0,000000;0,003200;0,000013;0,000093;0,000000;0,000000
4;0,006808;0,000180;0,006516;0,007167;0,021944;0,000013;0,021920;0,021960;0,001879;0,000740;0,000400;0,003100;4,498723;0,000229;4,498288;4,499140;5898,646102;0,307212;5898,164233;5899,194895;-91196657,865503;33797,398180;-91247307,069724;-91136796,459770;0,036801;0,069665;0,000000;0,224010;0,043602;0,000002;0,043602;0,043606;1,000784;0,000064;1,000675;1,000910;0,000439;0,000256;0,000000;0,000900;0,001440;0,000594;0,000400;0,002500;0,003677;0,001415;0,001001;0,006000;0,001147;0,000771;0,000000;0,002667;0,001720;0,001170;0,000000;0,004000;0,000013;0,000093;0,000000;0,000000
5;0,005949;0,000269;0,005494;0,006494;0,021320;0,000021;0,021280;0,021360;0,002442;0,000958;0,000500;0,004100;4,498735;0,000298;4,498193;4,499218;5913,405020;0,524655;5912,609964;5914,457314;-114442569,361216;53569,417319;-114514938,355301;-114353675,295393;0,033477;0,063132;0,000000;0,178770;0,042524;0,000004;0,042521;0,042534;1,001113;0,000103;1,000953;1,001322;0,000516;0,000312;0,000000;0,001100;0,001926;0,000747;0,000500;0,003100;0,004791;0,001636;0,001334;0,007336;0,001503;0,001016;0,000000;0,003667;0,002208;0,001512;0,000000;0,005200;0,000013;0,000093;0,000000;0,000000
6;0,005509;0,000377;0,004858;0,006256;0,020738;0,000034;0,020670;0,020790;0,003092;0,001223;0,000800;0,005200;4,498869;0,000377;4,498256;4,499453;5927,542718;0,816218;5926,282347;5929,219808;-137853612,344575;76765,958711;-137959852,225369;-137733951,821424;0,029359;0,051049;0,000000;0,147242;0,041774;0,000008;0,041765;0,041789;1,001487;0,000153;1,001220;1,001792;0,000594;0,000377;0,000000;0,001300;0,002498;0,000950;0,000600;0,004000;0,006111;0,001903;0,002334;0,009333;0,001957;0,001271;0,000333;0,004333;0,002680;0,001930;0,000000;0,006400;0,000013;0,000093;0,000000;0,000000
7;0,005344;0,000497;0,004565;0,006338;0,020197;0,000048;0,020100;0,020280;0,003755;0,001462;0,001500;0,006101;4,499096;0,000441;4,498492;4,499822;5941,053156;1,203512;5939,018999;5943,542473;-161425113,965724;102824,698007;-161572094,332481;-161274185,542747;0,026170;0,043454;0,000000;0,123464;0,041254;0,000010;0,041241;0,041273;1,001900;0,000217;1,001520;1,002336;0,000683;0,000429;0,000100;0,001500;0,003071;0,001133;0,001300;0,004900;0,007435;0,002205;0,004001;0,010337;0,002437;0,001527;0,000333;0,005333;0,003164;0,002314;0,000000;0,007600;0,000013;0,000093;0,000000;0,000000
8;0,005355;0,000629;0,004364;0,006628;0,019692;0,000064;0,019560;0,019810;0,004501;0,001748;0,001800;0,007401;4,499423;0,000503;4,498731;4,500261;5953,953792;1,668212;5951,163105;5957,443229;-185151660,499571;130121,344320;-185344488,529043;-184968259,091843;0,023434;0,038994;0,000000;0,092050;0,040895;0,000011;0,040881;0,040915;1,002350;0,000293;1,001870;1,002947;0,000768;0,000480;0,000100;0,001600;0,003733;0,001378;0,001600;0,005901;0,008850;0,002540;0,005335;0,012671;0,003034;0,001870;0,000333;0,006335;0,003736;0,002657;0,000400;0,008800;0,000013;0,000093;0,000000;0,000000
9;0,005456;0,000771;0,004251;0,007053;0,019223;0,000084;0,019060;0,019370;0,005454;0,002034;0,002501;0,008503;4,499892;0,000576;4,499143;4,500782;5966,243120;2,227613;5962,589774;5970,983306;-209029196,078718;158282,704163;-209265433,406141;-208811546,925833;0,020058;0,027865;0,000000;0,050400;0,040652;0,000013;0,040633;0,040673;1,002825;0,000383;1,002241;1,003619;0,000903;0,000545;0,000100;0,001900;0,004551;0,001603;0,002100;0,006801;0,010638;0,002847;0,006669;0,014343;0,003847;0,002192;0,000667;0,007667;0,004429;0,003103;0,000400;0,010004;0,000013;0,000093;0,000000;0,000000
10;0,005604;0,000901;0,004314;0,007441;0,018790;0,000105;0,018610;0,018960;0,006412;0,002232;0,003001;0,009904;4,500437;0,000619;4,499536;4,501481;5977,853901;2,871014;5973,429150;5984,152907;-233054982,319822;186410,621030;-233356944,663822;-232795555,396391;0,017799;0,019247;0,000000;0,042942;0,040485;0,000013;0,040466;0,040508;1,003322;0,000481;1,002630;1,004345;0,001058;0,000598;0,000200;0,002101;0,005353;0,001760;0,002601;0,008102;0,012470;0,003114;0,008336;0,017006;0,004641;0,002424;0,001333;0,008672;0,005101;0,003440;0,000400;0,011200;0,000027;0,000131;0,000000;0,000000
11;0,005776;0,001014;0,004347;0,007839;0,018392;0,000129;0,018170;0,018590;0,007432;0,002406;0,003501;0,011101;4,501059;0,000643;4,500116;4,502162;5988,794353;3,582985;5983,543831;5996,604587;-257221487,865656;210284,539022;-257579766,613787;-256927245,582943;0,015892;0,013951;0,001316;0,038048;0,040373;0,000013;0,040353;0,040394;1,003839;0,000585;1,003017;1,005102;0,001232;0,000637;0,000300;0,002400;0,006200;0,001908;0,003101;0,009101;0,014415;0,003445;0,009336;0,019673;0,005494;0,002667;0,001667;0,010337;0,005825;0,003582;0,000800;0,012000;0,000027;0,000131;0,000000;0,000000
12;0,005953;0,001135;0,004367;0,008153;0,018025;0,000154;0,017770;0,018250;0,008602;0,002700;0,004401;0,012604;4,501786;0,000708;4,500773;4,502981;5999,070562;4,341487;5993,071646;6008,326750;-281525937,023780;232843,930173;-281933395,185891;-281214943,947747;0,015877;0,011159;0,003258;0,038922;0,040300;0,000014;0,040280;0,040327;1,004371;0,000700;1,003406;1,005849;0,001440;0,000724;0,000400;0,002701;0,007161;0,002133;0,003801;0,010503;0,016541;0,003872;0,010681;0,022667;0,006485;0,002967;0,002001;0,011333;0,006766;0,003936;0,001200;0,013600;0,000027;0,000131;0,000000;0,000000
13;0,006117;0,001267;0,004191;0,008513;0,017689;0,000179;0,017390;0,017940;0,009827;0,002917;0,005003;0,014207;4,502581;0,000743;4,501489;4,503740;6008,634452;5,194659;6001,637656;6019,300358;-305962560,204348;254286,425961;-306438619,751843;-305612955,567217;0,015049;0,009405;0,004136;0,035252;0,040252;0,000014;0,040227;0,040275;1,004915;0,000828;1,003763;1,006633;0,001684;0,000773;0,000500;0,003101;0,008143;0,002304;0,004201;0,011804;0,018678;0,004111;0,012004;0,025008;0,007532;0,003214;0,002667;0,013000;0,007846;0,004263;0,001600;0,014406;0,000027;0,000131;0,000000;0,000000
14;0,006251;0,001407;0,004037;0,008898;0,017385;0,000208;0,017040;0,017680;0,011118;0,003143;0,006101;0,015813;4,503456;0,000786;4,502265;4,504666;6017,487743;6,104888;6009,399622;6029,817280;-330528292,716811;274944,456833;-331058223,557692;-330123738,578805;0,014500;0,008107;0,004094;0,030613;0,040223;0,000015;0,040198;0,040246;1,005465;0,000969;1,004155;1,007455;0,001976;0,000841;0,000800;0,003401;0,009142;0,002471;0,005103;0,013010;0,021036;0,004331;0,013685;0,028343;0,008692;0,003510;0,003333;0,014667;0,008787;0,004511;0,001601;0,016013;0,000033;0,000145;0,000000;0,000667
15;0,006334;0,001559;0,003901;0,009312;0,017110;0,000238;0,016720;0,017450;0,012537;0,003410;0,006602;0,017414;4,504412;0,000825;4,503109;4,505635;6025,609431;7,080083;6015,903290;6039,802657;-355218819,279845;297075,350658;-355820504,667921;-354773861,980893;0,014321;0,007943;0,003821;0,028103;0,040207;0,000016;0,040178;0,040238;1,006012;0,001124;1,004470;1,008318;0,002324;0,000901;0,000800;0,004002;0,010213;0,002668;0,005602;0,014506;0,023719;0,004713;0,015354;0,031354;0,009889;0,003809;0,004001;0,016333;0,009811;0,004845;0,002000;0,017607;0,000033;0,000145;0,000000;0,000667
16;0,006351;0,001727;0,003652;0,009683;0,016865;0,000268;0,016420;0,017250;0,014031;0,003709;0,007303;0,019314;4,505445;0,000886;4,504108;4,506775;6032,956040;8,121828;6021,397013;6049,289979;-380031899,280370;322688,860002;-380684233,277408;-379555335,006794;0,014751;0,007701;0,005328;0,028033;0,040200;0,000017;0,040171;0,040236;1,006548;0,001295;1,004729;1,009204;0,002734;0,001016;0,001000;0,004501;0,011296;0,002877;0,006202;0,015908;0,026437;0,005051;0,017356;0,034034;0,011177;0,004043;0,004668;0,017673;0,010984;0,005252;0,002400;0,020408;0,000033;0,000145;0,000000;0,000667
17;0,006306;0,001907;0,003382;0,010020;0,016650;0,000301;0,016160;0,017110;0,015537;0,003951;0,008503;0,020910;4,506511;0,000921;4,505073;4,507809;6039,502567;9,237764;6025,987529;6058,102585;-404960295,938607;354167,251556;-405617927,742697;-404385712,118114;0,014701;0,006921;0,005150;0,027323;0,040197;0,000017;0,040173;0,040227;1,007068;0,001483;1,004915;1,010113;0,003152;0,001097;0,001301;0,005003;0,012385;0,003044;0,007203;0,017210;0,029312;0,005354;0,019680;0,037074;0,012417;0,004243;0,005667;0,019340;0,012069;0,005605;0,002802;0,021609;0,000040;0,000158;0,000000;0,000667
18;0,006178;0,002105;0,002988;0,010248;0,016464;0,000337;0,015920;0,016990;0,017162;0,004232;0,010107;0,023121;4,507659;0,000986;4,506036;4,509045;6045,256405;10,432507;6029,791133;6066,368260;-429997693,067321;386665,946766;-430742576,174232;-429328894,177952;0,014182;0,005958;0,007753;0,026870;0,040199;0,000018;0,040170;0,040226;1,007562;0,001691;1,005018;1,011046;0,003684;0,001249;0,001602;0,005904;0,013478;0,003201;0,008109;0,018417;0,032498;0,005759;0,022059;0,041416;0,013685;0,004574;0,006002;0,020667;0,013222;0,005968;0,004000;0,023209;0,000053;0,000181;0,000000;0,000667
19;0,005962;0,002313;0,002464;0,010235;0,016306;0,000374;0,015700;0,016920;0,018886;0,004454;0,011015;0,025415;4,508867;0,001025;4,507068;4,510432;6050,179039;11,721546;6032,497303;6074,099240;-455144409,656260;422375,619791;-455914400,256846;-454447678,324495;0,014291;0,006398;0,007430;0,025842;0,040204;0,000018;0,040173;0,040236;1,008021;0,001917;1,005112;1,011962;0,004259;0,001367;0,002201;0,006506;0,014626;0,003324;0,008810;0,019614;0,035975;0,006076;0,024700;0,047110;0,015049;0,004858;0,007333;0,022689;0,014316;0,006248;0,004400;0,024820;0,000053;0,000181;0,000000;0,000667
