Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto
1;0,167312;0,089960;0,139200;5,102885;7334,938260;1264665628,882349;0,002505;0,250000;3,326046;0,066022;0,073178;0,893471;0,348214;0,119346;0,035176;0,007276;0,006250
2;0,175123;0,086460;0,137087;5,110826;7367,218558;905141813,229167;0,002828;0,250000;3,505255;0,060032;0,077055;0,851211;0,329524;0,123518;0,038462;0,006367;0,008772
3;0,186841;0,081560;0,124169;5,132964;7420,284355;43515594,049445;0,002908;0,250000;3,872421;0,061833;0,062336;0,857651;0,284270;0,111161;0,025084;0,009554;0,011264
4;0,211673;0,071550;0,102427;5,170270;7540,157976;-1299813622,620088;0,004719;0,250000;4,523449;0,058515;0,043912;0,766551;0,208993;0,095526;0,031720;0,007283;0,006274
5;0,172768;0,088420;0,135124;5,107951;7353,263872;1154871308,501635;0,004249;0,250000;3,421983;0,062311;0,072814;0,840580;0,316359;0,126596;0,032040;0,005909;0,015019
6;0,159404;0,094950;0,147658;5,094403;7286,784832;1665036409,178321;0,004821;0,241483;3,143604;0,066714;0,080945;0,879004;0,377933;0,129488;0,036851;0,006821;0,007519
7;0,180339;0,083760;0,130080;5,115271;7388,345865;708551256,643040;0,004005;0,250000;3,596750;0,058889;0,071191;0,822300;0,317058;0,115324;0,025084;0,008189;0,008750
8;0,180379;0,083690;0,127533;5,116896;7397,255679;725045673,757041;0,003512;0,250000;3,595064;0,061397;0,066136;0,810345;0,303378;0,116685;0,026801;0,004091;0,010025
9;0,181791;0,083420;0,127722;5,121519;7399,301492;519003970,612485;0,002144;0,250000;3,688266;0,061694;0,066028;0,839286;0,295311;0,116607;0,030201;0,006367;0,016270
10;0,176441;0,085810;0,128922;5,115013;7378,004491;795134379,308479;0,003968;0,250000;3,551134;0,065167;0,063755;0,892857;0,305397;0,112480;0,031773;0,008648;0,008750
11;0,176982;0,085820;0,129970;5,113378;7377,858596;921102438,172032;0,003798;0,250000;3,525709;0,062260;0,067709;0,835664;0,310587;0,117687;0,031826;0,004548;0,010013
12;0,163275;0,092310;0,142208;5,095629;7309,289728;1683801446,073078;0,002525;0,247284;3,183594;0,065503;0,076706;0,869258;0,360635;0,122980;0,041736;0,008193;0,005013
13;0,181689;0,084720;0,127572;5,127763;7395,621064;309648927,210189;0,005122;0,250000;3,766782;0,064038;0,063534;0,858696;0,294790;0,112676;0,038591;0,010919;0,016270
14;0,157582;0,095780;0,153009;5,094580;7282,794718;1802724915,288808;0,001935;0,239137;3,106768;0,067130;0,085878;0,887324;0,386132;0,137584;0,036728;0,006372;0,010013
15;0,173194;0,088010;0,135149;5,110960;7359,554995;951082183,072764;0,002812;0,250000;3,495571;0,064246;0,070903;0,845878;0,325271;0,123043;0,035000;0,006827;0,008772
16;0,165838;0,090780;0,143001;5,099681;7325,978048;1444976400,459282;0,003714;0,250000;3,270520;0,064542;0,078459;0,852113;0,338189;0,136068;0,036851;0,002733;0,008750
17;0,198670;0,076570;0,111906;5,148024;7473,561608;-457112579,176442;0,005390;0,250000;4,131577;0,058877;0,053030;0,816901;0,255711;0,095473;0,038397;0,005914;0,016250
18;0,198836;0,075990;0,111894;5,149042;7479,202545;-602523290,876139;0,002866;0,250000;4,153369;0,060328;0,051566;0,885813;0,257432;0,090542;0,033445;0,008186;0,007500
19;0,182508;0,082130;0,126637;5,119584;7404,060675;558359127,788099;0,002693;0,250000;3,661902;0,060548;0,066089;0,851590;0,289873;0,116039;0,030000;0,006818;0,008761
20;0,149690;0,100730;0,159451;5,086577;7242,850193;2279222010,072260;0,003611;0,227274;2,906417;0,069331;0,090120;0,839858;0,427030;0,142216;0,026711;0,004552;0,013784
21;0,155038;0,097350;0,153287;5,088752;7266,273179;2153719989,066281;0,003599;0,234933;2,992523;0,066142;0,087145;0,882562;0,378173;0,142247;0,025042;0,006824;0,013767
22;0,208103;0,072890;0,105847;5,160759;7519,716370;-825008536,348115;0,003619;0,250000;4,343015;0,056452;0,049395;0,807018;0,221659;0,094598;0,046745;0,006367;0,007528
23;0,185576;0,081830;0,126511;5,125776;7422,487617;429581440,406469;0,003309;0,250000;3,728676;0,060133;0,066378;0,823322;0,300823;0,112900;0,038591;0,006369;0,007509
24;0,184047;0,081820;0,123223;5,120720;7414,234341;663663095,530659;0,002386;0,250000;3,649669;0,060603;0,062620;0,892473;0,285260;0,108277;0,030201;0,007731;0,006258
25;0,188461;0,081180;0,116002;5,133545;7430,409313;202160118,254895;0,003663;0,250000;3,840972;0,063806;0,052196;0,805755;0,231353;0,115177;0,031879;0,008644;0,010038
26;0,191637;0,079270;0,118341;5,133394;7441,994063;114938714,576000;0,004541;0,250000;3,893159;0,058212;0,060129;0,840426;0,267089;0,105251;0,035058;0,007738;0,008772
27;0,216560;0,069670;0,101973;5,177282;7563,208219;-1589799663,284761;0,003049;0,250000;4,665077;0,056271;0,045702;0,817544;0,225379;0,086840;0,023411;0,006367;0,008750
28;0,176224;0,086600;0,135933;5,115525;7372,665121;712421166,312344;0,004522;0,250000;3,574525;0,061669;0,074264;0,852113;0,351676;0,114541;0,031933;0,005917;0,008783
29;0,186507;0,080960;0,128022;5,123568;7422,605221;470670447,444784;0,004227;0,250000;3,718419;0,056608;0,071414;0,843750;0,313887;0,111633;0,021703;0,006375;0,008772
30;0,168961;0,088380;0,135740;5,100969;7343,329787;1403091837,068281;0,002731;0,250000;3,295535;0,064845;0,070896;0,803509;0,318471;0,128808;0,036851;0,005455;0,010000
31;0,167449;0,090150;0,139800;5,099599;7326,597029;1338501974,341647;0,003772;0,250000;3,319508;0,062481;0,077319;0,839721;0,328671;0,134171;0,018425;0,005460;0,007547
32;0,138485;0,106470;0,171829;5,075700;7189,397013;2923605220,974907;0,003822;0,209936;2,631862;0,072445;0,099385;0,851211;0,456979;0,158627;0,031773;0,005460;0,002500
33;0,179952;0,083780;0,129751;5,115202;7388,562433;775382160,944407;0,002789;0,250000;3,588464;0,059583;0,070168;0,820789;0,293857;0,122148;0,035235;0,006827;0,015038
34;0,186440;0,081510;0,127201;5,129804;7424,165321;193234523,367947;0,002581;0,250000;3,812367;0,060481;0,066720;0,865248;0,286257;0,116964;0,033501;0,007727;0,008761
35;0,167266;0,090900;0,139410;5,102287;7327,387441;1237730749,424883;0,002957;0,250000;3,353757;0,064708;0,074702;0,861210;0,359236;0,117541;0,036789;0,009545;0,010013
36;0,204871;0,073890;0,110898;5,155936;7503,863321;-716813524,577251;0,005127;0,250000;4,277534;0,055802;0,055097;0,829787;0,246368;0,097741;0,028381;0,007738;0,007538
37;0,177579;0,085210;0,132675;5,111587;7379,767913;904763742,873274;0,003475;0,250000;3,517068;0,059784;0,072890;0,882353;0,318702;0,116540;0,030201;0,007273;0,007500
38;0,150520;0,100060;0,159350;5,087402;7245,797535;2254924848,892799;0,002753;0,228485;2,921991;0,068927;0,090423;0,882979;0,415130;0,140744;0,045226;0,005914;0,011292
39;0,160449;0,093880;0,141906;5,097050;7297,532224;1624416115,120456;0,003739;0,243119;3,179271;0,069943;0,071962;0,861702;0,349206;0,128337;0,033501;0,006824;0,007509
40;0,196148;0,077860;0,115943;5,138645;7461,278866;-104930756,993503;0,004127;0,250000;4,000021;0,055701;0,060242;0,846429;0,279543;0,096391;0,036789;0,005914;0,008761
41;0,215281;0,069650;0,101341;5,165396;7554,331467;-884122811,872146;0,004148;0,250000;4,437663;0,051023;0,050318;0,786477;0,231305;0,086373;0,026846;0,005923;0,005013
42;0,187699;0,080810;0,121130;5,126959;7428,615398;429460324,506968;0,004276;0,250000;3,757265;0,059607;0,061523;0,837545;0,276474;0,111683;0,030151;0,005462;0,005006
43;0,179531;0,084670;0,132944;5,119466;7389,992686;542470253,810396;0,002445;0,250000;3,652024;0,061134;0,071810;0,834507;0,353875;0,109050;0,026756;0,005457;0,012516
44;0,197837;0,075870;0,113629;5,141758;7473,893084;-148651109,394648;0,001943;0,250000;4,010128;0,057318;0,056311;0,835664;0,242866;0,101589;0,041876;0,008644;0,010000
45;0,159937;0,095140;0,153264;5,092689;7287,490245;1842843523,276696;0,003454;0,242483;3,124072;0,062052;0,091212;0,856115;0,393901;0,137931;0,025126;0,009103;0,012516
46;0,172575;0,088480;0,136717;5,109103;7355,972127;992858136,017525;0,002578;0,250000;3,485540;0,062859;0,073857;0,850909;0,322314;0,127379;0,043478;0,004095;0,012500
47;0,168666;0,090230;0,142843;5,107612;7335,401888;927118475,919835;0,002141;0,250000;3,457765;0,064773;0,078070;0,831579;0,368321;0,123658;0,041806;0,008636;0,006250
48;0,167162;0,090620;0,139049;5,099284;7328,617752;1424103811,991258;0,003790;0,250000;3,299781;0,063718;0,075331;0,879433;0,335451;0,126738;0,037162;0,004552;0,005000
49;0,167204;0,090780;0,141387;5,101918;7328,972682;1257350958,436386;0,003221;0,250000;3,344562;0,063780;0,077606;0,848592;0,344784;0,129937;0,028381;0,005460;0,012500
50;0,211214;0,071320;0,104372;5,165601;7534,181316;-1062660692,966016;0,002985;0,250000;4,442002;0,055410;0,048962;0,792388;0,235556;0,089078;0,025168;0,008189;0,006250
51;0,178931;0,084340;0,129413;5,113426;7385,180337;799809909,711528;0,002676;0,250000;3,561714;0,060218;0,069195;0,836879;0,306962;0,118519;0,033389;0,005005;0,003750
52;0,165920;0,091340;0,144038;5,102451;7327,219275;1249950470,314260;0,002924;0,250000;3,339389;0,065215;0,078823;0,809187;0,343929;0,137970;0,038655;0,005909;0,007519
53;0,162937;0,092750;0,144384;5,101095;7307,938000;1443054344,633680;0,003576;0,246816;3,252734;0,067554;0,076830;0,830986;0,340764;0,138479;0,023411;0,007279;0,015038
54;0,189876;0,080680;0,122480;5,133887;7437,487983;139933740,822027;0,005992;0,250000;3,869225;0,059073;0,063407;0,842657;0,281547;0,109718;0,030201;0,005009;0,013767
55;0,139025;0,106410;0,171624;5,081156;7192,271061;2661831774,679700;0,003456;0,211093;2,722423;0,075124;0,096501;0,868327;0,466709;0,151916;0,036789;0,006821;0,008761
56;0,193787;0,079190;0,119782;5,139650;7450,499348;-159310879,560955;0,002991;0,250000;4,010998;0,057673;0,062109;0,826990;0,272670;0,108842;0,013356;0,009550;0,006266
57;0,133883;0,109990;0,174568;5,074064;7163,652906;3064663096,303421;0,003179;0,203168;2,586684;0,075407;0,099161;0,868056;0,459615;0,159137;0,048576;0,007727;0,007509
58;0,197743;0,076680;0,115028;5,145250;7470,803407;-333059063,421362;0,003419;0,250000;4,085618;0,058018;0,057010;0,780142;0,256944;0,103695;0,033445;0,008186;0,017500
59;0,174360;0,086750;0,130891;5,109328;7358,582588;902357688,585565;0,003671;0,250000;3,508083;0,062771;0,068120;0,866197;0,309509;0,117186;0,031720;0,007283;0,010013
60;0,191764;0,078480;0,119730;5,128602;7442,241269;197153856,798165;0,003718;0,250000;3,845390;0,055578;0,064152;0,838129;0,291878;0,105534;0,018395;0,003636;0,005006
61;0,206636;0,072490;0,104154;5,154172;7516,786873;-520588767,851392;0,003663;0,250000;4,215529;0,056060;0,048094;0,830935;0,209391;0,098210;0,026711;0,006369;0,003764
62;0,163082;0,092910;0,148070;5,099167;7305,236238;1442000195,285570;0,002846;0,247041;3,252274;0,064510;0,083560;0,874564;0,372774;0,130007;0,036975;0,010009;0,008750
63;0,154939;0,096830;0,151004;5,090104;7266,314121;2084479703,423940;0,003518;0,234630;2,996988;0,068941;0,082063;0,861210;0,358323;0,143081;0,043406;0,010474;0,003759
64;0,206604;0,074060;0,107337;5,163455;7508,023130;-1077850434,697877;0,004029;0,250000;4,424796;0,057952;0,049385;0,853571;0,229259;0,093086;0,036851;0,008640;0,008772
65;0,180543;0,083980;0,128443;5,115540;7389,689051;812818875,493237;0,003399;0,250000;3,589641;0,059530;0,068913;0,848375;0,289440;0,121083;0,028428;0,009107;0,006250
66;0,179585;0,084790;0,132755;5,112264;7383,789243;835100227,936595;0,003239;0,250000;3,579225;0,056895;0,075860;0,845324;0,309841;0,125168;0,025042;0,005467;0,008750
67;0,173132;0,087430;0,129508;5,105665;7357,752910;1260992032,472644;0,005414;0,250000;3,390782;0,063441;0,066067;0,860714;0,296626;0,118492;0,035058;0,009107;0,007528
68;0,190866;0,078990;0,118507;5,129703;7443,664335;270752390,435765;0,003977;0,250000;3,822845;0,058094;0,060414;0,827957;0,281824;0,104568;0,020101;0,006367;0,007547
69;0,184034;0,082810;0,125101;5,124909;7412,647842;482056719,448950;0,004251;0,250000;3,704531;0,061290;0,063810;0,847751;0,281349;0,113998;0,030050;0,006824;0,015038
70;0,141046;0,105630;0,171123;5,080769;7194,086026;2569273378,210343;0,002431;0,213494;2,761797;0,071133;0,099990;0,896194;0,456286;0,151189;0,045075;0,004550;0,013750
71;0,198213;0,076880;0,115602;5,146344;7474,766354;-393924112,062117;0,003815;0,250000;4,106715;0,057650;0,057952;0,808511;0,282100;0,099238;0,023451;0,005460;0,005000
72;0,196281;0,076960;0,116195;5,140127;7469,961981;-111900181,897197;0,003853;0,250000;3,985940;0,057745;0,058450;0,811189;0,267006;0,102977;0,031720;0,007276;0,007509
73;0,171898;0,088440;0,136575;5,107753;7349,010643;1038727231,452660;0,005289;0,250000;3,448882;0,062437;0,074138;0,845324;0,335868;0,124244;0,030050;0,004100;0,008783
74;0,201910;0,075290;0,112747;5,146652;7491,976048;-324173298,230643;0,004256;0,250000;4,130168;0,054155;0,058592;0,842105;0,247449;0,101566;0,040134;0,004098;0,003755
75;0,185060;0,081350;0,126927;5,122423;7416,628596;410423791,027401;0,002092;0,250000;3,718725;0,059031;0,067896;0,828671;0,318297;0,108205;0,030151;0,004548;0,012531
76;0,189059;0,080440;0,125516;5,133273;7434,688307;-35272760,606444;0,004624;0,250000;3,896609;0,059487;0,066029;0,809028;0,314358;0,106688;0,028428;0,008193;0,006250
77;0,200450;0,075920;0,110203;5,146867;7480,345048;-322182510,145964;0,003886;0,250000;4,117575;0,056716;0,053487;0,788732;0,245860;0,096861;0,040067;0,007738;0,011264
78;0,195237;0,077090;0,117849;5,137788;7464,595363;7539539,624017;0,003483;0,250000;3,937979;0,056809;0,061039;0,827465;0,268231;0,106416;0,018425;0,007734;0,010013
79;0,152374;0,098400;0,155957;5,087034;7256,832389;2143895095,789272;0,003018;0,230953;2,952936;0,068193;0,087764;0,869718;0,422930;0,135692;0,021812;0,005914;0,003755
80;0,164484;0,091630;0,143995;5,098417;7315,620172;1524828138,965117;0,002653;0,249023;3,228689;0,064838;0,079157;0,842105;0,381587;0,122143;0,031826;0,007279;0,008750
81;0,175900;0,085540;0,129650;5,112166;7375,855920;884749771,321180;0,002806;0,250000;3,509612;0,063918;0,065732;0,854610;0,321905;0,111584;0,033389;0,005455;0,010000
82;0,203472;0,074750;0,111447;5,154507;7493,130478;-702437117,342398;0,003740;0,250000;4,252757;0,056328;0,055119;0,839286;0,266328;0,091011;0,025084;0,008189;0,013767
83;0,186054;0,081570;0,124458;5,126605;7419,147347;380344628,291390;0,002575;0,250000;3,755602;0,060163;0,064295;0,840989;0,286257;0,111733;0,036789;0,008644;0,006258
84;0,165244;0,090280;0,136717;5,097018;7325,592188;1686829718,812106;0,002871;0,250000;3,183162;0,066895;0,069821;0,866426;0,325700;0,125112;0,035058;0,007283;0,008772
85;0,160542;0,094330;0,145570;5,093162;7290,659078;1741741636,361719;0,003977;0,242958;3,147399;0,065057;0,080513;0,879433;0,353129;0,133498;0,040268;0,006818;0,007519
86;0,203943;0,075250;0,113014;5,156877;7498,524892;-795821016,872068;0,003410;0,250000;4,299047;0,056104;0,056910;0,809028;0,267597;0,096240;0,030151;0,006818;0,005013
87;0,163955;0,092440;0,147080;5,097180;7310,299330;1559402442,647214;0,004741;0,248607;3,222746;0,063250;0,083829;0,853659;0,355911;0,137229;0,033445;0,008648;0,005006
88;0,182787;0,082910;0,128515;5,120679;7399,111457;480720845,034031;0,003421;0,250000;3,694045;0,059167;0,069348;0,843206;0,313688;0,109792;0,040201;0,006827;0,011264
89;0,144713;0,103680;0,170820;5,081099;7210,370771;2515376860,982007;0,004191;0,219230;2,806788;0,066794;0,104026;0,864769;0,467640;0,151189;0,038333;0,004096;0,008761
90;0,199581;0,076700;0,118465;5,149670;7475,442588;-553351015,446292;0,006696;0,250000;4,167966;0,055807;0,062657;0,821678;0,293932;0,097850;0,011706;0,009107;0,015019
91;0,161534;0,093930;0,146145;5,096909;7299,848099;1655937527,758492;0,006262;0,244812;3,170974;0,065805;0,080339;0,858621;0,370064;0,130074;0,028571;0,007289;0,006258
92;0,181858;0,082240;0,129516;5,117805;7402,068368;565219957,340957;0,001572;0,250000;3,641812;0,059374;0,070142;0,852632;0,323641;0,110912;0,028381;0,005909;0,007509
93;0,199978;0,076180;0,114927;5,149563;7482,936397;-505351562,450122;0,003678;0,250000;4,165459;0,057010;0,057917;0,843206;0,272785;0,095547;0,030151;0,007738;0,007519
94;0,172066;0,088200;0,138699;5,109487;7354,442933;968706693,064809;0,002859;0,250000;3,457677;0,063356;0,075342;0,873684;0,344959;0,120697;0,030252;0,009099;0,007509
95;0,198981;0,076600;0,110786;5,150339;7479,112514;-424147917,114519;0,003521;0,250000;4,139588;0,060887;0,049899;0,849817;0,220672;0,105381;0,033333;0,009572;0,007528
96;0,177827;0,085230;0,129891;5,115631;7378,268806;751191638,030079;0,003787;0,250000;3,584011;0,062324;0,067568;0,850365;0,306278;0,117529;0,038397;0,008636;0,006258
97;0,179248;0,084620;0,129546;5,120047;7387,017847;493517001,106518;0,003157;0,250000;3,655404;0,063363;0,066183;0,845614;0,331633;0,106991;0,033389;0,008189;0,010000
98;0,179700;0,084160;0,130544;5,115043;7387,092922;706234032,869868;0,004028;0,250000;3,601533;0,059980;0,070565;0,845878;0,322765;0,114567;0,031667;0,006824;0,005019
99;0,179491;0,084550;0,125694;5,119930;7388,785764;592646227,577134;0,003173;0,250000;3,651347;0,064360;0,061334;0,854545;0,288706;0,115015;0,038333;0,006827;0,005025
100;0,155152;0,097240;0,155878;5,092099;7267,878657;1970204187,456220;0,002753;0,235207;3,037976;0,067251;0,088627;0,872792;0,403420;0,137637;0,035058;0,008193;0,011264
