Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto
1;-0,079368;0,078940;0,132434;4,639453;6172,753098;-8541749903,591376;0,002265;0,040000;0,980102;0,049411;0,083023;0,717770;0,441667;0,091759;0,003333;0,001818;0,003750
2;-0,050315;0,066060;0,112285;4,679389;6304,020033;-8855741877,702044;0,002294;0,040000;1,112167;0,037428;0,074857;0,581882;0,398338;0,071285;0,006678;0,000455;0,001250
3;-0,102364;0,086950;0,146810;4,596260;6086,401787;-8203616154,434641;0,002783;0,040000;0,860120;0,055947;0,090863;0,675958;0,476069;0,112152;0,013356;0,003182;0,001250
4;0,034943;0,037740;0,061345;4,819137;6894,051409;-10633081742,418140;0,002791;0,058415;1,771581;0,022791;0,038554;0,505190;0,191651;0,032962;0,015000;0,001364;0,002500
5;-0,119140;0,093740;0,156483;4,560290;6038,675601;-7802384423,379563;0,003755;0,040000;0,758889;0,059992;0,096491;0,657343;0,501926;0,127094;0,018425;0,000909;0,000000
6;-0,056260;0,068940;0,116167;4,674746;6275,939811;-8815160770,173910;0,003271;0,040000;1,090096;0,041071;0,075096;0,663158;0,381378;0,079206;0,005008;0,002727;0,003750
7;-0,138574;0,104110;0,178121;4,536726;5983,839830;-7505719299,622155;0,004301;0,040000;0,681656;0,068624;0,109496;0,657439;0,531048;0,162832;0,031826;0,002273;0,001250
8;-0,081315;0,079280;0,129792;4,640458;6163,657019;-8610106594,838630;0,002674;0,040000;0,986336;0,053828;0,075963;0,600694;0,446213;0,089469;0,016694;0,001819;0,001250
9;-0,114826;0,091680;0,149340;4,570520;6053,267719;-7871211898,673874;0,003195;0,040000;0,779391;0,061611;0,087728;0,630282;0,501284;0,112402;0,016667;0,003182;0,001250
10;-0,101813;0,086290;0,144369;4,590341;6098,052516;-8016992546,802491;0,003655;0,040000;0,831829;0,054239;0,090130;0,673611;0,477756;0,107988;0,011667;0,001365;0,003750
11;-0,105377;0,089180;0,147003;4,593025;6074,168441;-8134259781,909657;0,003345;0,040000;0,846542;0,058136;0,088866;0,616438;0,488103;0,110094;0,030000;0,002273;0,005000
12;-0,038796;0,062680;0,104437;4,706544;6366,527299;-9099491535,192259;0,002594;0,040000;1,195488;0,037931;0,066506;0,592199;0,354777;0,066414;0,011667;0,004091;0,000000
13;-0,072640;0,075920;0,127102;4,647048;6202,985701;-8577132691,576942;0,002438;0,040000;1,005202;0,046228;0,080874;0,590909;0,426386;0,090747;0,015000;0,003182;0,002500
14;-0,130756;0,099840;0,166532;4,544624;6002,528816;-7660066190,093647;0,004264;0,040000;0,711881;0,064353;0,102179;0,727586;0,523166;0,137553;0,013356;0,000909;0,002500
15;-0,037785;0,061850;0,105846;4,703231;6368,146808;-9041238368,140821;0,002858;0,040000;1,186108;0,034108;0,071738;0,595156;0,369898;0,063754;0,011725;0,002273;0,002503
16;-0,161671;0,143760;0,195777;4,523679;5897,318631;-7442045945,806253;0,004043;0,040000;0,652882;0,074452;0,121325;0,713287;0,548345;0,194053;0,025042;0,000909;0,005000
17;-0,010581;0,053040;0,095974;4,752145;6529,442184;-9610211620,626213;0,001185;0,040000;1,387052;0,026303;0,069672;0,541958;0,340063;0,055679;0,010000;0,002273;0,001250
18;-0,057788;0,069350;0,116012;4,669526;6265,448283;-8853246361,761990;0,003515;0,040000;1,088478;0,040886;0,075126;0,650177;0,393338;0,076872;0,008347;0,001819;0,000000
19;-0,096116;0,084370;0,140354;4,605995;6112,857400;-8217987106,863142;0,003764;0,040000;0,881218;0,054571;0,085783;0,650177;0,465473;0,105146;0,008361;0,001820;0,001250
20;-0,113046;0,091100;0,149127;4,571643;6056,771469;-7918843356,935868;0,003799;0,040000;0,788974;0,059429;0,089698;0,660900;0,502901;0,110042;0,021667;0,000000;0,002500
21;-0,129499;0,099760;0,167003;4,551165;6003,949839;-7681072988,269878;0,003359;0,040000;0,724613;0,065450;0,101553;0,705479;0,517330;0,141674;0,015050;0,000909;0,000000
22;-0,082530;0,079280;0,130930;4,630811;6163,252071;-8419793489,289413;0,003045;0,040000;0,951500;0,050458;0,080471;0,591696;0,440514;0,096077;0,013356;0,001364;0,002500
23;-0,104253;0,087790;0,148413;4,588177;6082,601951;-8081914751,157950;0,003539;0,040000;0,837503;0,054207;0,094207;0,665505;0,468890;0,119839;0,013356;0,001819;0,002500
24;-0,091329;0,082140;0,135566;4,606992;6126,357185;-8232642691,444652;0,003516;0,040000;0,892160;0,049728;0,085838;0,645161;0,447453;0,102564;0,010017;0,001364;0,001250
25;-0,122405;0,096780;0,159189;4,564666;6025,362040;-7822885725,443499;0,003028;0,040000;0,761242;0,065128;0,094062;0,682759;0,510652;0,127455;0,018333;0,002727;0,002500
26;-0,074683;0,075680;0,126963;4,640713;6194,700602;-8524645241,760475;0,002537;0,040000;0,985166;0,046315;0,080648;0,621528;0,441101;0,086772;0,005000;0,000455;0,000000
27;0,004414;0,049210;0,085335;4,780805;6630,642134;-10008198951,851799;0,003207;0,040011;1,530784;0,024827;0,060509;0,515789;0,293333;0,051236;0,005000;0,001818;0,003750
28;-0,129794;0,099890;0,168129;4,547161;6000,593764;-7687583054,324249;0,004742;0,040000;0,723469;0,063338;0,104791;0,667832;0,503201;0,150783;0,020067;0,000910;0,002500
29;-0,135295;0,103320;0,175753;4,545393;5986,333141;-7632387335,168213;0,003187;0,040000;0,707935;0,067419;0,108334;0,649306;0,550258;0,153880;0,015025;0,000909;0,002500
30;-0,102952;0,086860;0,140970;4,591259;6089,094666;-8096784479,481638;0,003598;0,040000;0,842324;0,056872;0,084098;0,609756;0,475610;0,105028;0,018395;0,000000;0,001250
31;-0,084923;0,079990;0,134509;4,621407;6150,882462;-8373837245,362197;0,003668;0,040000;0,930961;0,048060;0,086448;0,684397;0,440484;0,097719;0,015000;0,000909;0,002500
32;-0,138220;0,104110;0,177183;4,538526;5989,098944;-7483409317,574780;0,003466;0,040000;0,680384;0,069965;0,107219;0,726644;0,500646;0,168047;0,025000;0,000000;0,005000
33;-0,115198;0,092450;0,154846;4,571861;6043,312320;-7974850954,032476;0,002200;0,040000;0,795736;0,059541;0,095305;0,671280;0,496139;0,122240;0,018333;0,003636;0,006250
34;-0,113483;0,092100;0,150972;4,579960;6053,806094;-7974872679,581969;0,002872;0,040000;0,802642;0,062947;0,088025;0,620209;0,480436;0,123996;0,013356;0,003182;0,001250
