Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95
1;0,014396;0,000025;0,014350;0,014436;0,024110;0,000000;0,024110;0,024110;0,000427;0,000199;0,000100;0,000800;4,499441;0,000075;4,499332;4,499592;5850,464002;0,000000;5850,464002;5850,464002;-22514813,584023;691,882455;-22516099,950059;-22513699,950059;0,038141;0,110948;0,000000;0,402865;0,050500;0,000000;0,050500;0,050500;1,000110;0,000007;1,000097;1,000121;0,000125;0,000109;0,000000;0,000400;0,000302;0,000181;0,000100;0,000600;0,000840;0,000477;0,000333;0,001667;0,000237;0,000251;0,000000;0,000667;0,000408;0,000379;0,000000;0,001200;0,000013;0,000093;0,000000;0,000000
2;0,010684;0,000060;0,010583;0,010787;0,023335;0,000005;0,023330;0,023340;0,000907;0,000345;0,000300;0,001400;4,499070;0,000117;4,498883;4,499277;5867,204801;0,084751;5867,060598;5867,355462;-45224567,579809;7410,784367;-45237852,970365;-45213516,153838;0,041990;0,104281;0,000000;0,382721;0,047350;0,000000;0,047350;0,047350;1,000279;0,000018;1,000248;1,000310;0,000257;0,000160;0,000000;0,000500;0,000650;0,000294;0,000200;0,001200;0,001770;0,000800;0,000667;0,003333;0,000553;0,000403;0,000000;0,001333;0,000828;0,000549;0,000000;0,002000;0,000020;0,000114;0,000000;0,000000
3;0,008287;0,000111;0,008095;0,008494;0,022615;0,000008;0,022600;0,022630;0,001395;0,000525;0,000400;0,002300;4,498834;0,000164;4,498526;4,499165;5883,248743;0,173884;5882,972067;5883,549374;-68121710,095096;17865,394897;-68147970,345256;-68089601,437694;0,039328;0,082442;0,000000;0,363585;0,045145;0,000000;0,045145;0,045145;1,000503;0,000037;1,000441;1,000570;0,000354;0,000196;0,000000;0,000800;0,001041;0,000423;0,000300;0,001700;0,002707;0,001097;0,001000;0,004667;0,000843;0,000565;0,000000;0,001667;0,001308;0,000839;0,000000;0,002800;0,000020;0,000114;0,000000;0,000000
4;0,006802;0,000182;0,006483;0,007167;0,021945;0,000013;0,021920;0,021970;0,001906;0,000733;0,000500;0,003000;4,498728;0,000228;4,498288;4,499101;5898,634665;0,312672;5898,121896;5899,194895;-91197116,249538;33639,131869;-91246925,154254;-91136796,459770;0,036440;0,069584;0,000000;0,224010;0,043602;0,000002;0,043602;0,043606;1,000782;0,000065;1,000665;1,000910;0,000440;0,000254;0,000000;0,000900;0,001466;0,000578;0,000500;0,002400;0,003704;0,001382;0,001334;0,006000;0,001163;0,000761;0,000000;0,002667;0,001768;0,001166;0,000000;0,004000;0,000027;0,000131;0,000000;0,000000
5;0,005938;0,000273;0,005494;0,006494;0,021321;0,000022;0,021280;0,021360;0,002496;0,000958;0,000800;0,004000;4,498747;0,000302;4,498193;4,499216;5913,382725;0,531148;5912,440146;5914,351129;-114442782,885721;53138,020869;-114514191,702610;-114353675,295393;0,032814;0,063209;0,000000;0,178770;0,042524;0,000005;0,042521;0,042536;1,001109;0,000104;1,000948;1,001322;0,000524;0,000326;0,000000;0,001100;0,001972;0,000733;0,000800;0,003100;0,004858;0,001681;0,002001;0,007336;0,001570;0,001023;0,000000;0,003333;0,002256;0,001526;0,000000;0,005600;0,000027;0,000131;0,000000;0,000000
6;0,005485;0,000386;0,004808;0,006243;0,020739;0,000034;0,020670;0,020800;0,003217;0,001240;0,001200;0,005001;4,498900;0,000391;4,498256;4,499567;5927,498018;0,826068;5926,147582;5929,141774;-137854606,872942;77157,403683;-137959852,225369;-137733951,821424;0,028785;0,050303;0,000000;0,135382;0,041775;0,000009;0,041765;0,041792;1,001478;0,000157;1,001220;1,001792;0,000619;0,000409;0,000000;0,001400;0,002598;0,000934;0,001100;0,004000;0,006345;0,002036;0,003001;0,009667;0,002047;0,001269;0,000333;0,004000;0,002784;0,001874;0,000000;0,006400;0,000027;0,000131;0,000000;0,000000
7;0,005298;0,000520;0,004481;0,006297;0,020200;0,000049;0,020100;0,020280;0,003963;0,001528;0,001500;0,006301;4,499150;0,000469;4,498462;4,499922;5940,957286;1,227499;5938,969256;5943,449936;-161427889,557367;104135,927501;-161577082,942085;-161274185,542747;0,026006;0,042087;0,000000;0,119613;0,041256;0,000011;0,041242;0,041278;1,001884;0,000225;1,001509;1,002324;0,000723;0,000481;0,000000;0,001500;0,003240;0,001157;0,001300;0,004901;0,007872;0,002401;0,004001;0,011671;0,002530;0,001465;0,000333;0,005000;0,003352;0,002319;0,000000;0,007600;0,000027;0,000131;0,000000;0,000000
8;0,005277;0,000665;0,004245;0,006567;0,019699;0,000067;0,019570;0,019810;0,004805;0,001810;0,002000;0,007502;4,499503;0,000531;4,498764;4,500442;5953,770465;1,741719;5950,906761;5957,264931;-185156176,137727;131868,158891;-185346239,761764;-184968439,540417;0,023902;0,038044;0,002008;0,083109;0,040898;0,000012;0,040882;0,040920;1,002320;0,000307;1,001822;1,002925;0,000827;0,000523;0,000100;0,001800;0,003978;0,001399;0,001700;0,006202;0,009570;0,002819;0,005669;0,013671;0,003147;0,001741;0,000667;0,006000;0,003945;0,002711;0,000400;0,008800;0,000027;0,000131;0,000000;0,000000
9;0,005349;0,000811;0,004225;0,006976;0,019235;0,000088;0,019090;0,019370;0,005764;0,002090;0,002501;0,008902;4,499958;0,000583;4,499166;4,500956;5965,928047;2,346591;5962,403678;5970,733116;-209035243,122816;158130,584390;-209267428,902831;-208813627,309486;0,020556;0,026992;0,002567;0,051251;0,040653;0,000012;0,040635;0,040672;1,002781;0,000402;1,002204;1,003588;0,000954;0,000564;0,000200;0,002000;0,004810;0,001637;0,002100;0,007302;0,011438;0,003157;0,006335;0,016011;0,003831;0,002016;0,000667;0,007000;0,004717;0,003182;0,000400;0,010000;0,000033;0,000145;0,000000;0,000667
10;0,005468;0,000948;0,004145;0,007406;0,018807;0,000112;0,018630;0,018970;0,006823;0,002299;0,003001;0,010502;4,500516;0,000630;4,499580;4,501630;5977,408165;3,035394;5973,214948;5983,794692;-233061192,321554;182410,348268;-233331301,449545;-232797899,354905;0,018076;0,018579;0,002099;0,038836;0,040487;0,000012;0,040470;0,040512;1,003261;0,000506;1,002584;1,004291;0,001105;0,000635;0,000300;0,002301;0,005718;0,001795;0,002601;0,008503;0,013427;0,003440;0,008003;0,018673;0,004731;0,002240;0,001000;0,008336;0,005485;0,003569;0,000400;0,011605;0,000033;0,000145;0,000000;0,000667
11;0,005606;0,001069;0,004145;0,007799;0,018413;0,000137;0,018190;0,018610;0,007932;0,002489;0,003701;0,011405;4,501161;0,000665;4,500133;4,502237;5988,195634;3,788982;5983,242452;5996,260133;-257228680,843146;204180,115496;-257565549,951277;-256929987,081092;0,016142;0,011043;0,004225;0,030902;0,040375;0,000012;0,040357;0,040397;1,003757;0,000617;1,002935;1,005021;0,001303;0,000687;0,000400;0,002601;0,006628;0,001937;0,003301;0,009404;0,015490;0,003605;0,009670;0,021340;0,005668;0,002534;0,001667;0,009340;0,006318;0,003872;0,000800;0,012800;0,000040;0,000184;0,000000;0,000667
12;0,005740;0,001197;0,004072;0,008156;0,018053;0,000163;0,017780;0,018280;0,009236;0,002752;0,004402;0,013104;4,501911;0,000723;4,500786;4,503126;5998,278513;4,603800;5992,101536;6008,039186;-281533005,344921;222989,587449;-281913552,521620;-281216399,014289;0,015327;0,009469;0,004854;0,031648;0,040303;0,000014;0,040282;0,040326;1,004263;0,000740;1,003298;1,005780;0,001541;0,000772;0,000500;0,003101;0,007696;0,002123;0,004002;0,010903;0,017970;0,003934;0,010684;0,024000;0,006782;0,002828;0,002333;0,011000;0,007222;0,004191;0,001200;0,013605;0,000047;0,000194;0,000000;0,000667
13;0,005855;0,001332;0,004002;0,008486;0,017726;0,000191;0,017410;0,017990;0,010569;0,002953;0,005203;0,015305;4,502730;0,000753;4,501519;4,503939;6007,604685;5,497000;6000,271075;6019,315074;-305971767,219934;241401,887903;-306429905,784886;-305616515,880447;0,014779;0,008562;0,003986;0,033769;0,040255;0,000014;0,040235;0,040276;1,004776;0,000875;1,003578;1,006556;0,001796;0,000822;0,000600;0,003402;0,008773;0,002277;0,004702;0,012106;0,020291;0,004070;0,012688;0,026333;0,007989;0,003077;0,003000;0,013004;0,008319;0,004594;0,001200;0,016006;0,000047;0,000194;0,000000;0,000667
