Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto
1;-0,225791;0,554060;0,715225;4,314794;4875,000000;11712409969,186266;0,014075;0,040000;0,361663;0,130752;0,584473;0,931410;0,857792;0,713872;0,018455
2;-0,222179;0,511750;0,723205;4,447742;4875,000000;11477331410,938356;0,000928;0,040000;0,465177;0,119111;0,604094;0,922888;0,871243;0,740695;0,024064
3;-0,203480;0,442310;0,729077;4,591582;5057,655044;11123364882,817585;0,001513;0,040000;0,619704;0,103948;0,625129;0,929268;0,881628;0,741181;0,026756
4;-0,206067;0,454500;0,719757;4,572766;5025,971447;11208355420,020773;0,001394;0,040000;0,592865;0,106249;0,613508;0,921007;0,883993;0,712127;0,029372
5;-0,210184;0,472550;0,716625;4,537486;4980,396648;11319684742,394766;0,001448;0,040000;0,552793;0,103008;0,613618;0,918274;0,867308;0,725234;0,024749
6;-0,220563;0,507990;0,719638;4,460614;4884,098818;11479511083,837637;0,000883;0,040000;0,477178;0,113318;0,606319;0,927770;0,875000;0,715574;0,025401
7;-0,224163;0,538880;0,719852;4,351052;4875,000000;11678537051,895515;0,005155;0,040000;0,386581;0,124923;0,594929;0,915789;0,862496;0,750715;0,018717
8;-0,201243;0,436340;0,725216;4,595259;5072,924403;11134988137,590975;0,001443;0,040000;0,625871;0,097594;0,627622;0,918438;0,865391;0,760395;0,024683
9;-0,229458;0,596440;0,696028;4,277907;4875,000000;11778413954,546038;0,114024;0,040000;0,339868;0,148532;0,547496;0,921260;0,833550;0,700321;0,012152
10;-0,234725;0,668920;0,655408;4,243027;4875,000000;11833719406,941050;0,241083;0,040000;0,323630;0,172363;0,483045;0,934432;0,764198;0,610588;0,004444
11;-0,227019;0,557170;0,718370;4,305129;4875,000000;11729242107,273525;0,017974;0,040000;0,355381;0,135630;0,582740;0,925431;0,868910;0,720151;0,020478
12;-0,187685;0,385420;0,711429;4,668198;5207,918363;10871359872,309828;0,002165;0,040000;0,737995;0,097599;0,613831;0,914826;0,863122;0,712469;0,026720
13;-0,230921;0,612340;0,695730;4,268710;4875,000000;11774456289,967422;0,147527;0,040000;0,332167;0,154103;0,541627;0,926942;0,833411;0,694485;0,013043
14;-0,223897;0,531290;0,722480;4,375592;4875,000000;11604640718,810448;0,002682;0,040000;0,403292;0,125837;0,596643;0,928571;0,873886;0,731777;0,018060
15;-0,242122;0,736490;0,618292;4,197789;4875,000000;11901020795,997498;0,318108;0,040000;0,306926;0,200498;0,417794;0,937545;0,656584;0,516693;0,003867
16;-0,025391;0,220270;0,389798;4,784844;5657,463491;9740487513,021698;0,002841;0,040000;1,341773;0,076923;0,312875;0,886442;0,330405;0,095565;0,030100
17;-0,216027;0,488210;0,722497;4,511097;4938,663107;11346863883,174580;0,001270;0,040000;0,525411;0,114442;0,608055;0,921025;0,878508;0,728203;0,029451
18;-0,223355;0,526340;0,723833;4,395057;4875,000000;11579391089,991182;0,001071;0,040000;0,421289;0,123895;0,599938;0,930119;0,875000;0,727869;0,026738
19;-0,227047;0,555440;0,722374;4,306788;4875,000000;11714749372,273794;0,017582;0,040000;0,353957;0,135773;0,586601;0,926186;0,867111;0,733584;0,019310
20;-0,227272;0,559690;0,715200;4,305497;4875,000000;11712083980,296509;0,019276;0,040000;0,355961;0,138047;0,577153;0,924205;0,871731;0,699582;0,022759
21;-0,226872;0,563260;0,714650;4,298240;4875,000000;11748810562,006723;0,032797;0,040000;0,351638;0,134282;0,580368;0,926907;0,861222;0,714286;0,013250
22;-0,224336;0,539370;0,720894;4,356830;4875,000000;11684633480,196950;0,005443;0,040000;0,390738;0,125116;0,595778;0,922483;0,859813;0,747329;0,022163
23;-0,225774;0,549470;0,717696;4,317887;4875,000000;11710488833,051940;0,009376;0,040000;0,363961;0,131707;0,585989;0,924211;0,856157;0,732780;0,022358
24;-0,221621;0,517290;0,718702;4,438112;4875,000000;11544528141,083492;0,001743;0,040000;0,455754;0,117647;0,601054;0,921424;0,870415;0,720231;0,033535
25;-0,219376;0,499230;0,723801;4,484317;4908,132614;11418475680,376219;0,001148;0,040000;0,497600;0,115606;0,608194;0,920351;0,882232;0,734260;0,023380
26;-0,231743;0,622980;0,684998;4,262868;4875,000000;11791849531,884520;0,154908;0,040000;0,331517;0,158104;0,526893;0,923077;0,822265;0,662338;0,012472
27;-0,216107;0,488870;0,723234;4,505149;4935,996535;11364170174,045162;0,001044;0,040000;0,518168;0,111283;0,611951;0,916871;0,879699;0,736821;0,027352
28;-0,224813;0,538310;0,721156;4,359064;4875,000000;11652087169,858590;0,006424;0,040000;0,393100;0,128586;0,592570;0,932447;0,865816;0,728092;0,024129
29;-0,222408;0,510450;0,727207;4,446635;4875,293416;11495454536,732570;0,001290;0,040000;0,461512;0,119366;0,607841;0,926615;0,876112;0,746427;0,026684
30;-0,223014;0,530340;0,720815;4,379539;4875,000000;11622877307,821058;0,001836;0,040000;0,408491;0,121165;0,599650;0,920252;0,865385;0,744072;0,020708
